part,prov,first_ship,last_ship,partprov
102036,SK,2023-10-23,2025-05-26,102036SK
102036,YT,2023-11-20,2024-01-22,102036YT
102037,AB,2023-10-23,2025-03-17,102037AB
102037,BC,2023-11-06,2025-05-26,102037BC
102037,MB,2023-10-16,2025-06-16,102037MB
102037,NB,2024-02-26,2025-04-28,102037NB
102037,NL,2024-01-22,2025-03-31,102037NL
102037,NU,2024-03-25,2024-06-17,102037NU
102037,ON,2023-12-25,2025-06-09,102037ON
102037,PE,2024-06-17,2025-05-05,102037PE
102037,SK,2023-10-23,2025-05-26,102037SK
102037,YT,2023-11-20,2024-01-22,102037YT
102045,AB,2023-10-30,2023-12-11,102045AB
102045,BC,2023-08-07,2023-12-04,102045BC
102045,MB,2023-07-31,2024-08-19,102045MB
102045,NL,2023-08-07,2023-09-25,102045NL
102045,NS,2023-08-28,2024-06-03,102045NS
102045,NU,2024-06-17,2024-06-17,102045NU
102045,ON,2023-09-25,2024-01-15,102045ON
102045,PE,2023-11-06,2023-12-04,102045PE
102045,SK,2023-08-28,2024-09-02,102045SK
102046,QC,2023-10-23,2025-04-07,102046QC
102051,QC,2023-10-23,2025-04-14,102051QC
102052,MB,2023-07-31,2024-04-15,102052MB
102052,NB,2023-09-11,2023-11-20,102052NB
102052,NL,2023-08-07,2023-09-25,102052NL
102052,NU,2023-08-21,2024-03-25,102052NU
102052,ON,2024-01-15,2024-04-22,102052ON
102052,PE,2023-09-11,2024-01-15,102052PE
102052,SK,2023-07-31,2024-04-29,102052SK
102052,YT,2024-05-27,2024-05-27,102052YT
102053,AB,2023-07-31,2025-06-09,102053AB
102053,BC,2023-07-31,2023-09-25,102053BC
102053,MB,2023-08-14,2025-06-16,102053MB
102053,NU,2024-03-25,2024-07-29,102053NU
102053,PE,2023-09-11,2024-02-26,102053PE
102053,SK,2023-08-14,2025-05-05,102053SK
102054,AB,2023-08-14,2023-08-14,102054AB
102054,MB,2023-07-31,2023-08-14,102054MB
102054,SK,2023-07-31,2023-07-31,102054SK
102058,ON,2023-11-20,2024-05-27,102058ON
102058,QC,2023-11-06,2024-09-09,102058QC
102059,AB,2023-09-25,2025-06-09,102059AB
102059,BC,2023-11-06,2025-06-16,102059BC
102059,MB,2023-10-09,2025-06-16,102059MB
102059,NL,2024-01-22,2025-06-16,102059NL
102059,NT,2025-04-28,2025-05-19,102059NT
102059,NU,2024-02-12,2025-05-05,102059NU
102059,ON,2024-01-29,2025-06-16,102059ON
102059,PE,2024-12-02,2025-01-13,102059PE
102059,SK,2023-10-09,2025-06-16,102059SK
102059,YT,2024-11-11,2025-06-02,102059YT
102063,AB,2023-10-23,2024-08-05,102063AB
102063,MB,2024-06-17,2025-06-09,102063MB
102063,NU,2024-06-17,2025-06-09,102063NU
102063,ON,2023-11-20,2025-02-24,102063ON
102063,SK,2024-06-03,2025-03-03,102063SK
102064,AB,2024-01-22,2024-06-17,102064AB
102064,MB,2024-08-19,2025-06-09,102064MB
102064,NU,2024-07-29,2025-06-09,102064NU
102064,ON,2024-01-29,2025-01-20,102064ON
102064,SK,2024-06-17,2025-03-10,102064SK
102064,YT,2025-06-02,2025-06-02,102064YT
102065,BC,2023-10-30,2025-05-19,102065BC
102066,AB,2023-10-23,2024-05-13,102066AB
102066,BC,2024-09-09,2024-09-30,102066BC
102066,MB,2023-10-23,2025-06-09,102066MB
102066,NU,2024-02-12,2025-06-09,102066NU
102066,ON,2023-12-25,2025-03-17,102066ON
102066,SK,2023-10-16,2025-02-03,102066SK
102066,YT,2025-06-02,2025-06-02,102066YT
102069,AB,2023-08-14,2023-08-14,102069AB
102069,MB,2023-08-21,2024-05-13,102069MB
102069,NB,2023-11-20,2023-11-20,102069NB
102069,NL,2023-08-07,2023-09-25,102069NL
102069,NU,2024-03-25,2024-03-25,102069NU
102069,SK,2023-07-31,2024-04-22,102069SK
102074,AB,2024-04-29,2024-04-29,102074AB
102074,MB,2023-08-21,2025-01-27,102074MB
102074,NU,2024-05-06,2024-11-25,102074NU
102074,ON,2025-03-17,2025-03-17,102074ON
102074,SK,2023-10-02,2025-01-20,102074SK
102077,BC,2023-10-23,2023-10-23,102077BC
102077,NL,2023-10-23,2023-10-23,102077NL
102077,NS,2023-10-23,2023-10-23,102077NS
102077,ON,2023-10-16,2023-10-16,102077ON
102077,PE,2023-10-23,2023-10-23,102077PE
102078,AB,2024-03-11,2024-10-14,102078AB
102078,BC,2023-07-31,2025-06-09,102078BC
102078,MB,2023-07-31,2025-06-16,102078MB
102078,NL,2023-08-07,2025-06-16,102078NL
102078,NS,2023-09-25,2025-06-16,102078NS
