part,prov,sow,demand
101119,MB,2023-12-18,0.0
101119,MB,2023-12-25,384.0
101119,MB,2024-01-01,0.0
101119,MB,2024-01-08,96.0
101119,MB,2024-01-15,48.0
101119,MB,2024-01-22,0.0
101119,MB,2024-01-29,144.0
101119,MB,2024-02-05,24.0
101119,MB,2024-02-12,0.0
101119,MB,2024-02-19,120.0
101119,MB,2024-02-26,48.0
101119,MB,2024-03-04,384.0
101119,MB,2024-03-11,48.0
101119,MB,2024-03-18,72.0
101119,MB,2024-03-25,48.0
101119,MB,2024-04-01,96.0
101119,MB,2024-04-08,240.0
101119,MB,2024-04-15,0.0
101119,MB,2024-04-22,24.0
101119,MB,2024-04-29,72.0
101119,MB,2024-05-06,240.0
101119,MB,2024-05-13,48.0
101119,MB,2024-05-20,24.0
101119,MB,2024-05-27,48.0
101119,MB,2024-06-03,0.0
101119,MB,2024-06-10,312.0
101119,MB,2024-06-17,120.0
101119,MB,2024-06-24,72.0
101119,MB,2024-07-01,24.0
101119,MB,2024-07-08,216.0
